timesteps,env_idx,episode_reward,episode_length
48676,2,130.755322,101
48860,0,136.172935,101
48972,3,133.847402,101
48996,1,135.915471,101
49080,2,135.648813,101
49264,0,134.867485,101
49376,3,138.126199,101
49400,1,139.503623,101
49484,2,138.908595,101
49668,0,138.654842,101
49780,3,132.757145,101
49804,1,134.301237,101
49888,2,135.937307,101
