#{"t_start": 1767541112.093963, "env_id": "None"}
r,l,t
-13.894789,7,240.959309
30.063913,39,241.656075
-4.071816,13,241.907306
-20.0,1,241.92828
-4.381443,14,56.337067,57,242.760422
-4.202450.391098,56,243.233.257532.541447,42,244.-2.95305-15.177404,5,244.104.7056116.672288,100,24517.294128,30,246.301935
-20.0,1,1.183122,19,246.649805
84.743457,79,248.128309
4.665039,19,248.486407
96.482177,85,250.081535
5.823518,20,250.44348
10.262952,25,250.885476
-2.331364,14,251.205822
-38.217881,45,251.5311.423088,25,251.70063
61.912892,62,253.230179
12.888838,26,253.708134
-20.0,1,253.728591
-20.0,1,253.751483
5.448701,20,254.184914
22.889003,31,254.760092
-8.145278,11,254.978896
8.069842,22,255.395213
30.309786,38,256.11268277.477684,72,256.363827
-20.0,1,256.383383
14129.092664,101,258.071412
-20.0,1,258.094675
30.851039,41,258.89135.160882,101,259.111745
64.742047,66,260.294907
67.83557,64,261.459426
-7.916443,10,261.637613
-10.681412,9,261.807532
-3.277954,13,262.054267
-20.0,1,262.075114
1.43883,18,262.412208
1.598165,21,262.801906
3.429579,18,263.147011
3.114188,19,263.506502
32.311848,39,264.212476
-20.0,1,264.233909
10.918999,24,264.688926
25.901582,37,265.414895
22.716656,34,266.035808
-20.0,1,266.055273
63.175017,62,267.233023
7.280393,22,267.647439
6.384504,21,268.069144
-9.322603,9,268.226791
-10.9187.491289,81,269.0776.12428.267963,37,269.24.061987,38,270.267539
-6.383464,12,270.488032
70.197067,65,271.649423
-20.0,1,271.669803
25.388156,37,272.372399
-0.844359,16,272.680486
-6.853242,13,272.94873109.632869,24,273.40813955.013991,60,274.150893
26.630279,35,274.763968
127.886062,101,275.936949
54.820371,58,277.033623
-1.977499,17,277.341469
-14.212889,5,277.435595
53.106652,57,278.495891
21.297713,34,279.103671
-0.703768,16,279.399682
132.834476,101,281.218338
-20.0,1,281.238128
27.94015,38,281.939397
-3.443147,13,282.189037
9.35501,25,282.63925
-20.0,1,282.659305
12.088901,25,283.132384
-12.405167,7,283.270633
-20.0,1,283.291563
51.674196,53,284.291655
51.063033,55,285.315004
-20.0,1,285.336553
0.463971,16,285.635418
-20.0,1,285.656927
-6.270657,12,285.890725
-20.0,1,285.910545
135.284964,101,287.764328
5.859696,20,288.141796
-20.0,1,288.161744
2.902063,18,288.489399
-20.0,1,288.509445
140.464673,101,290.307127
-2.731883,14,290.574938
6.405178,20,290.960529
-5.81735,13,291.209695
-20.0,1,291.231459
-20.0,1,291.25286
-20.0,1,291.273523
6.747362,22,291.686132
139.154281,101,293.595216
-20.0,1,293.615251
-11.704916,8,293.76381
-20.0,1,293.784381
134.716577,101,295.5851
48.933368,55,296.575812
63.278919,61,297.713554
-20.0,1,297.733487
3.5977,19,298.095297
27.844959,39,298.827682
-20.0,1,298.85259
30.950891,40,299.540291
-6.860977,10,299.72395
44.877394,48,300.610614
-0.783573,15,300.907755
-2.249942,15,301.188661
37.333763,42,301.948813
-12.659477,7,302.074541
1.559562,17,302.38033
-1.664711,15,302.669518
14.510043,28,303.186002
-11.720444,7,303.310739
-0.522642,16,303.610692
27.32098,35,304.270141
-20.0,1,304.290343
-7.532507,11,304.487296
-4.768289,14,304.735765
-12.063737,9,304.914253
71.340309,69,306.211026
-7.563903,11,306.417924
63.573253,68,307.69691
17.525935,28,308.22597
133.105722,101,310.095313
-20.0,1,310.118692
22.600556,32,310.679914
5.952074,21,311.162025
26.515588,35,311.932777
1.084104,17,312.31441
32.146287,39,313.202637
16.132178,29,313.761811
-20.0,1,313.783796
-6.70374,12,314.046344
31.856404,40,314.802378
-20.0,1,314.827005
-20.0,1,314.853395
-20.0,1,314.874372
65.440242,65,316.093382
-20.0,1,316.114964
-20.0,1,316.13701
6.83403,21,316.554882
9.564171,25,317.022
138.755621,101,318.783243
-20.0,1,318.802131
15.178631,28,319.337671
-11.500793,8,319.485209
-20.0,1,319.505019
-11.338091,8,319.658243
59.13089,59,320.743383
-20.0,1,320.763294
25.908398,36,321.421303
-20.0,1,321.441287
-20.0,1,321.460874
-4.768453,12,321.677084
8.565447,25,322.137747
43.273202,52,323.083301
-5.981078,12,323.303014
-5.652938,13,323.542356
-20.0,1,323.562428
77.548861,75,325.034738
39.182093,45,325.89769
2.40796,18,326.22771
56.578657,58,327.309595
-20.0,1,327.329909
-8.344421,10,327.515497
-20.0,1,327.535883
-20.0,1,327.557793
-20.0,1,327.579778
-20.0,1,327.601045
